,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
40554,1230000.0,1948.0,1275000.0,90034,Single Family Residence,3.0,2.0,34.023884,-118.414431,1321.0,1.0,5504.0,2017-12-07,1,1,0,0,0,1,1,0,0,1,1,0,0,0,72.0,12,2017,1,2017-11-07,2.32
40555,1060000.0,1938.0,1150000.0,90034,Single Family Residence,3.0,3.0,34.030041,-118.399015,1540.0,1.0,5004.0,2017-10-18,1,1,0,0,0,1,1,0,1,1,1,0,0,0,82.0,10,2017,1,2017-09-18,2.23
40556,987000.0,1925.0,899000.0,90034,Single Family Residence,3.0,2.0,34.02217,-118.411154,1051.0,1.0,4800.0,2017-10-06,1,1,0,0,0,1,1,1,1,1,1,0,0,0,95.0,10,2017,1,2017-09-06,2.1
40557,1172000.0,1927.0,1049000.0,90034,Single Family Residence,3.0,2.0,34.0369,-118.385165,1669.0,1.0,5003.0,2017-10-13,1,1,0,0,0,1,1,1,1,1,1,0,0,0,93.0,10,2017,1,2017-09-13,2.2
40558,440000.0,1976.0,425000.0,90034,Condominium,1.0,1.0,34.030374,-118.412593,618.0,1.0,27106.0,2017-09-22,0,0,1,0,0,1,0,1,0,1,1,0,0,1,44.0,9,2017,1,2017-08-23,2.17
40559,1800750.0,1954.0,1600000.0,90034,Single Family Residence,2.0,2.0,34.03267,-118.401499,1281.0,1.0,12000.0,2017-09-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.0,9,2017,1,2017-08-20,2.296688541140846
40560,1110000.0,1939.0,989000.0,90034,Single Family Residence,3.0,2.0,34.039728000000004,-118.389374,1370.0,1.0,4860.0,2017-09-29,1,1,0,0,0,1,1,1,1,1,1,1,0,0,81.0,9,2017,1,2017-08-30,2.15
40561,1270000.0,1950.0,1249000.0,90034,Single Family Residence,3.0,2.0,34.037487,-118.391561,1373.0,1.0,5000.0,2017-09-26,1,1,0,0,0,1,1,1,1,1,1,1,0,0,70.0,9,2017,1,2017-08-27,2.296688541140846
40562,935000.0,1940.0,934900.0,90034,Single Family Residence,3.0,2.0,34.034527000000004,-118.375261,1320.0,1.0,5000.0,2017-09-15,1,1,0,0,0,1,1,1,1,1,0,0,0,0,80.0,9,2017,1,2017-08-16,2.23
40563,1462000.0,1939.0,1389000.0,90034,Single Family Residence,3.0,2.0,34.022216,-118.419474,1674.0,1.0,5685.0,2017-10-02,1,1,0,0,0,1,0,1,1,1,1,1,0,0,81.0,10,2017,1,2017-09-02,2.296688541140846
40564,445000.0,1978.0,419000.0,90034,Condominium,1.0,1.0,34.030596,-118.396587,739.0,1.0,15641.0,2017-09-11,0,0,1,0,0,1,1,1,1,1,1,0,0,0,42.0,9,2017,1,2017-08-12,2.296688541140846
40565,2060000.0,1941.0,2079000.0,90034,Single Family Residence,4.0,5.0,34.018903,-118.419109,2888.0,2.0,5775.0,2017-09-19,0,1,0,0,0,1,1,0,1,1,1,0,0,0,79.0,9,2017,1,2017-08-20,2.296688541140846
40566,850000.0,1939.0,839000.0,90034,Single Family Residence,2.0,1.0,34.034801,-118.381264,1207.0,1.0,5001.0,2017-09-20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,81.0,9,2017,1,2017-08-21,2.18
40567,704000.0,1991.0,660000.0,90034,Townhouse,2.0,3.0,34.024190000000004,-118.413629,1179.0,2.0,4838.0,2017-08-29,0,0,0,0,1,1,1,1,1,1,1,0,0,0,29.0,8,2017,0,2017-07-30,2.296688541140846
40568,2118000.0,1950.0,1995000.0,90034,Single Family Residence,3.0,4.0,34.042621999999994,-118.392793,2791.0,1.0,7585.0,2017-10-11,1,1,0,0,0,0,0,1,1,1,1,0,0,0,70.0,10,2017,1,2017-09-11,2.14
40569,925000.0,1991.0,1249000.0,90034,Single Family Residence,3.0,2.0,34.017212,-118.4156,1885.0,1.0,4995.0,2017-11-13,1,1,0,0,0,1,1,1,1,1,1,0,0,0,29.0,11,2017,1,2017-10-14,2.296688541140846
40570,1700000.0,1939.0,1699000.0,90034,Single Family Residence,4.0,5.0,34.019431,-118.41651,2696.0,1.0,5939.0,2017-10-30,1,1,0,0,0,1,0,1,1,1,1,0,0,0,81.0,10,2017,1,2017-09-30,2.296688541140846
40572,1141500.0,1940.0,1149000.0,90034,Single Family Residence,3.0,2.0,34.036178,-118.394879,1260.0,1.0,4993.0,2017-09-21,1,1,0,0,0,1,1,0,1,1,1,0,0,0,80.0,9,2017,1,2017-08-22,2.22
40573,585000.0,1948.0,549000.0,90034,Single Family Residence,2.0,1.0,34.034608,-118.387785,714.0,1.0,2125.0,2017-08-23,1,1,0,0,0,0,0,0,0,1,1,0,0,0,72.0,8,2017,0,2017-07-24,2.26
40574,2050000.0,1916.0,1750000.0,90034,Single Family Residence,3.0,1.0,34.026715,-118.409212,1771.0,1.0,7508.0,2017-11-09,1,1,0,0,0,0,1,0,1,1,1,0,0,0,104.0,11,2017,1,2017-10-10,2.35
40575,710000.0,2008.0,699000.0,90034,Condominium,2.0,2.0,34.025355,-118.40436,1120.0,1.0,16422.0,2017-08-25,0,0,1,0,0,1,1,0,1,1,1,0,0,1,12.0,8,2017,0,2017-07-26,2.29
40576,915000.0,1931.0,977000.0,90034,Single Family Residence,3.0,2.0,34.036627,-118.383726,1338.0,1.0,5210.0,2017-10-31,1,1,0,0,0,0,0,1,1,1,1,1,0,0,89.0,10,2017,1,2017-10-01,2.296688541140846
40577,745000.0,1983.0,724900.0,90034,Condominium,2.0,3.0,34.021749,-118.408365,1212.0,3.0,7478.0,2017-08-16,0,0,1,0,0,1,1,1,1,1,1,0,0,1,37.0,8,2017,0,2017-07-17,2.31
40579,915000.0,1938.0,939000.0,90034,Single Family Residence,3.0,2.0,34.032275,-118.381751,1365.0,1.0,4841.0,2017-09-02,1,1,0,0,0,0,1,0,1,1,0,0,0,1,82.0,9,2017,1,2017-08-03,2.24
40580,721000.0,2008.0,699000.0,90034,Condominium,2.0,2.0,34.025355,-118.40436,1100.0,1.0,16422.0,2017-09-01,0,0,1,0,0,1,1,0,1,1,1,1,0,0,12.0,9,2017,1,2017-08-02,2.27
40581,635000.0,1975.0,599000.0,90034,Condominium,2.0,2.0,34.020223,-118.411147,1132.0,2.0,14436.0,2017-08-11,0,0,1,0,0,1,0,0,1,1,1,0,0,0,45.0,8,2017,0,2017-07-12,2.33
40583,1457000.0,1939.0,1415000.0,90034,Single Family Residence,4.0,4.0,34.024771,-118.419073,1924.0,3.0,6444.0,2017-11-07,1,1,0,0,0,1,1,1,1,1,1,1,0,1,81.0,11,2017,1,2017-10-08,2.296688541140846
40585,925500.0,1955.0,895000.0,90034,Single Family Residence,3.0,2.0,34.033595,-118.384114,1482.0,2.0,2125.0,2017-07-31,1,1,0,0,0,0,1,0,1,0,1,1,0,0,65.0,7,2017,0,2017-07-01,2.296688541140846
40586,875000.0,1928.0,895000.0,90034,Single Family Residence,2.0,2.0,34.034964,-118.38573999999998,1090.0,1.0,5006.0,2017-08-22,1,1,0,0,0,1,0,1,0,1,1,0,0,0,92.0,8,2017,0,2017-07-23,2.296688541140846
